GP_CODE,Order,Seasonal_Order,MSE,RMSE,MAPE,Runtime_Seconds,Status
E83005,"(0, 1, 1)","(0, 1, 0, 12)",1460397.3275199598,1208.4690014725077,40.02936121771104,0.5980820655822754,Success
E83013,"(0, 1, 1)","(1, 1, 0, 12)",4111697.116407243,2027.7320129660238,82.56302844221511,2.1858367919921875,Success
E83018,"(0, 1, 0)","(1, 1, 0, 12)",9833627.921066869,3135.8615915035007,35.19501495779443,1.900933027267456,Success
E83600,"(0, 1, 0)","(0, 1, 1, 12)",5742273.192297392,2396.3040692485984,35.1185977095359,0.8100900650024414,Success
E83649,"(0, 1, 0)","(0, 1, 0, 12)",577125.1666666666,759.6875454202647,44.21391880793152,0.3126182556152344,Success
E84075,"(0, 1, 0)","(1, 1, 0, 12)",2200644.289706594,1483.4568715357361,28.766662382394713,0.7650630474090576,Success
E84704,"(0, 1, 1)","(0, 0, 0, 12)",69354.67304625832,263.35275401305057,26.341669845983684,0.4355189800262451,Success
E85124,"(0, 1, 0)","(0, 1, 0, 12)",97292057.66666667,9863.673639505043,30.42970062295341,0.24767208099365234,Success
E85713,"(0, 0, 1)","(0, 1, 0, 12)",570334.6304427526,755.2050254353136,27.686398862108664,0.7300810813903809,Success
E86610,"(0, 1, 1)","(0, 0, 0, 12)",306558.5143315746,553.6772655000154,31.85843167241008,0.5392718315124512,Success
E87046,"(1, 0, 0)","(0, 0, 0, 12)",2262365.2087444128,1504.116088852324,40.65448175417667,0.22638416290283203,Success
E87052,"(0, 0, 0)","(0, 0, 0, 12)",79.84717416378315,8.93572460205568,153.07380527968763,0.22060489654541016,Success
E87772,"(0, 1, 0)","(0, 1, 0, 12)",21249.000000000065,145.77036735907632,33.93074096382415,0.311413049697876,Success
F82034,"(1, 0, 0)","(1, 1, 0, 12)",865000.4550761644,930.0540065373432,35.79489815460729,1.110393762588501,Success
F82619,"(2, 1, 0)","(0, 1, 0, 12)",150345.15999881158,387.7436782190157,28.196795214995408,0.7982971668243408,Success
F82627,"(0, 1, 0)","(0, 0, 0, 12)",274157.3333333333,523.6003565061175,27.617187656462967,0.3039538860321045,Success
F82675,"(0, 1, 0)","(0, 0, 0, 12)",118833.83333333333,344.72283552635923,28.417764897873298,0.34421396255493164,Success
F83056,"(0, 1, 0)","(2, 0, 0, 12)",2531317.7695856225,1591.0115554532035,53.69942146848029,1.4223458766937256,Success
F83624,"(0, 0, 1)","(0, 1, 0, 12)",3487649.1140833437,1867.5248630428844,37.77380778855981,0.6674139499664307,Success
F84008,"(0, 0, 1)","(2, 1, 0, 12)",2427094.460073601,1557.9134956966002,28.160134042285318,2.236396074295044,Success
F84021,"(0, 1, 0)","(0, 0, 0, 12)",3793197.0,1947.6131546074544,49.387255803030584,0.2544898986816406,Success
F84039,"(1, 0, 0)","(1, 1, 0, 12)",6043805.92593109,2458.415328200483,66.94780277828426,1.7502269744873047,Success
F84080,"(1, 0, 0)","(2, 1, 0, 12)",1299000.752474754,1139.7371418334817,57.74766358362019,2.2842628955841064,Success
F84087,"(3, 1, 0)","(0, 0, 0, 12)",5360053.46150636,2315.178926456087,127.04980395534167,1.1569180488586426,Success
F84123,"(0, 0, 0)","(0, 0, 1, 12)",5495204.4487285735,2344.1852419825045,35.48761274852927,0.4647407531738281,Success
F84710,"(2, 0, 2)","(0, 0, 2, 12)",1942150.9766626398,1393.6107694269012,46.564631553767285,2.4934630393981934,Success
F84718,"(0, 1, 1)","(1, 0, 0, 12)",2737499.8793375064,1654.5391743133514,28.325243558515247,2.360562801361084,Success
F85028,"(1, 0, 0)","(1, 1, 0, 12)",441201.0253855719,664.2296480778105,27.206705027471973,1.2654399871826172,Success
F85650,"(1, 0, 0)","(0, 1, 0, 12)",1228363.0571447208,1108.3154141058947,49.510819524258984,0.40529894828796387,Success
F85700,"(1, 0, 0)","(0, 0, 0, 12)",230764.11440922052,480.37913610940734,43.515261439690576,0.28481388092041016,Success
F86018,"(0, 0, 0)","(0, 0, 0, 12)",1509053.0077854681,1228.4351866441584,67.50853139755904,0.24125909805297852,Success
F86064,"(0, 0, 1)","(0, 0, 0, 12)",887017.469560942,941.8160486851676,33.93972527179791,0.3669888973236084,Success
F86625,"(0, 1, 0)","(1, 0, 0, 12)",89440.66434123904,299.0663209745274,27.72591476932226,1.2528789043426514,Success
G83044,"(0, 0, 1)","(0, 1, 1, 12)",3156346.2810118,1776.6108974707433,26.136048671586877,1.1664938926696777,Success
G84007,"(0, 0, 0)","(0, 1, 0, 12)",1145553.1666666667,1070.3051745491407,28.350174746621686,0.5251181125640869,Success
G84018,"(0, 0, 1)","(1, 1, 0, 12)",284395.05668441235,533.2870302983304,52.37663271919777,1.1051909923553467,Success
G84020,"(1, 0, 0)","(0, 0, 0, 12)",353151.0150611815,594.2651050340929,26.237827078823127,0.30588293075561523,Success
G84030,"(0, 0, 1)","(0, 0, 0, 12)",850393.446736924,922.1677974950784,29.65315688227463,0.3107612133026123,Success
G84629,"(0, 0, 0)","(0, 1, 0, 12)",221472.83333333334,470.6090026054892,32.92086515714357,0.5007596015930176,Success
G85040,"(0, 0, 1)","(0, 1, 0, 12)",2103421.6235623998,1450.3177664092789,34.879921445582745,0.7983801364898682,Success
G85100,"(0, 0, 1)","(0, 0, 0, 12)",1210836.162166938,1100.380008073092,26.253452521096815,0.3779587745666504,Success
G85114,"(1, 0, 0)","(1, 1, 0, 12)",8265003.693481572,2874.891944661846,49.289531144433816,0.8319458961486816,Success
G85135,"(0, 0, 0)","(0, 0, 0, 12)",950592.8881199546,974.983532230137,27.400768200039323,0.2397608757019043,Success
G85708,"(0, 0, 0)","(0, 0, 0, 12)",1360580.4622260674,1166.4392235457738,63.072278888968405,0.23505377769470215,Success
H83011,"(0, 0, 0)","(0, 0, 0, 12)",2499485.2174163777,1580.9760331568527,32.85008194372991,0.23969197273254395,Success
H83017,"(1, 0, 0)","(0, 0, 0, 12)",2080703.6062022296,1442.464421121793,32.88441490435607,0.25933194160461426,Success
H83020,"(0, 0, 1)","(0, 0, 1, 12)",915245.8299471439,956.684812227697,26.796285125350238,0.6144719123840332,Success
H84055,"(1, 0, 0)","(0, 0, 0, 12)",1047730.7062306795,1023.5871756868975,28.709370934695187,0.2424788475036621,Success
H85011,"(5, 1, 2)","(0, 0, 0, 12)",2799697.5711912257,1673.2296827367204,42.187094006557096,2.9131510257720947,Success
H85026,"(0, 0, 1)","(2, 1, 0, 12)",4559371.837437503,2135.2685633047436,36.4306608949206,2.2283670902252197,Success
H85029,"(0, 0, 0)","(0, 1, 0, 12)",3573436.17630854,1890.3534527459515,43.58898401792465,0.5140407085418701,Success
H85111,"(0, 1, 1)","(0, 0, 0, 12)",2164512.532787186,1471.2282395288591,32.221668114460094,0.4610023498535156,Success
H85634,"(0, 0, 1)","(0, 0, 0, 12)",1501154.175409439,1225.2159709248974,33.212648369593666,0.3167610168457031,Success
Y01291,"(0, 0, 0)","(0, 1, 1, 12)",1503230.0124429173,1226.06280933846,33.32979664892542,0.8891458511352539,Success
Y02589,"(0, 0, 1)","(0, 0, 0, 12)",420299.2194490568,648.3048815557822,26.461986101481294,0.29146790504455566,Success
